Location,cardio_cancer
Afghanistan,29.8
Albania,17.4
Algeria,14.4
Angola,16.9
Antigua and Barbuda,22.6
Argentina,16.1
Armenia,23.0
Australia,9.3
Austria,11.5
Azerbaijan,22.5
Bahamas,15.6
Bahrain,11.7
Bangladesh,21.7
Barbados,16.3
Belarus,24.5
Belgium,11.6
Belize,22.4
Benin,19.7
Bhutan,23.7
Bolivia (Plurinational State of),17.4
Bosnia and Herzegovina,18.2
Botswana,20.7
Brazil,17.0
Brunei Darussalam,17.0
Bulgaria,23.8
Burkina Faso,21.9
Burundi,22.8
Cabo Verde,17.4
Cambodia,21.3
Cameroon,21.8
Canada,10.0
Central African Republic,23.7
Chad,24.1
Chile,12.5
China,17.4
Colombia,15.9
Comoros,23.0
Congo,17.0
Costa Rica,11.6
Croatia,17.2
Cuba,16.6
Cyprus,11.5
Czechia,15.5
Côte d’Ivoire,29.3
Democratic People's Republic of Korea,25.8
Democratic Republic of the Congo,19.4
Denmark,11.7
Djibouti,19.5
Dominican Republic,19.1
Ecuador,13.4
Egypt,28.2
El Salvador,14.1
Equatorial Guinea,22.0
Eritrea,24.2
Estonia,16.9
Eswatini,26.6
Ethiopia,18.4
Fiji,30.8
Finland,10.5
France,10.8
Gabon,14.8
Gambia,20.6
Georgia,24.9
Germany,12.5
Ghana,20.9
Greece,12.3
Grenada,21.7
Guatemala,14.9
Guinea,22.6
Guinea-Bissau,19.8
Guyana,30.6
Haiti,26.7
Honduras,14.0
Hungary,23.3
Iceland,9.3
India,23.5
Indonesia,26.5
Iran (Islamic Republic of),15.1
Iraq,21.6
Ireland,10.5
Israel,9.7
Italy,9.8
Jamaica,14.8
Japan,8.6
Jordan,19.4
Kazakhstan,28.6
Kenya,13.3
Kiribati,28.5
Kuwait,17.6
Kyrgyzstan,26.2
Lao People's Democratic Republic,27.1
Latvia,22.2
Lebanon,17.9
Lesotho,26.6
Liberia,17.2
Libya,19.7
Lithuania,22.2
Luxembourg,9.6
Madagascar,23.1
Malawi,16.3
Malaysia,17.3
Maldives,13.9
Mali,24.8
Malta,10.8
Mauritania,18.0
Mauritius,22.8
Mexico,15.9
Micronesia (Federated States of),26.5
Mongolia,30.4
Montenegro,20.9
Morocco,12.5
Mozambique,18.4
Myanmar,24.3
Namibia,21.6
Nepal,22.2
Netherlands,11.3
New Zealand,10.4
Nicaragua,14.4
Niger,20.2
Nigeria,22.5
Norway,9.3
Oman,18.1
Pakistan,24.8
Panama,13.2
Papua New Guinea,29.9
Paraguay,17.7
Peru,12.8
Philippines,26.9
Poland,19.3
Portugal,11.2
Qatar,15.4
Republic of Korea,8.3
Republic of Moldova,27.5
Romania,21.5
Russian Federation,25.9
Rwanda,18.3
Saint Lucia,19.0
Saint Vincent and the Grenadines,22.3
Samoa,20.9
Sao Tome and Principe,18.6
Saudi Arabia,16.5
Senegal,18.4
Serbia,20.1
Seychelles,21.3
Sierra Leone,30.0
Singapore,10.0
Slovakia,17.7
Slovenia,13.1
Solomon Islands,24.4
Somalia,21.9
South Africa,26.6
South Sudan,19.6
Spain,10.1
Sri Lanka,17.6
Sudan,26.0
Suriname,21.8
Sweden,9.3
Switzerland,8.7
Syrian Arab Republic,21.8
Tajikistan,25.4
Thailand,14.6
The former Yugoslav Republic of Macedonia,20.7
Timor-Leste,19.9
Togo,23.5
Tonga,23.5
Trinidad and Tobago,21.5
Tunisia,16.4
Turkey,16.4
Turkmenistan,30.6
Uganda,21.9
Ukraine,25.9
United Arab Emirates,17.0
United Kingdom of Great Britain and Northern Ireland,11.2
United Republic of Tanzania,17.9
United States of America,14.3
Uruguay,17.1
Uzbekistan,24.8
Vanuatu,23.7
Venezuela (Bolivarian Republic of),18.2
Viet Nam,17.3
Yemen,30.7
Zambia,18.0
Zimbabwe,19.4
