Location,HALE
Afghanistan,52.6
Albania,69.03
Algeria,65.99
Angola,53.66
Antigua and Barbuda,66.81
Argentina,66.86
Armenia,66.0
Australia,70.56
Austria,70.39
Azerbaijan,63.09
Bahamas,64.17
Bahrain,66.24
Bangladesh,63.76
Barbados,67.21
Belarus,65.06
Belgium,69.99
Belize,65.06
Benin,54.29
Bhutan,62.6
Bolivia (Plurinational State of),62.73
Bosnia and Herzegovina,66.97
Botswana,52.78
Brazil,64.7
Brunei Darussalam,65.71
Bulgaria,65.91
Burkina Faso,53.35
Burundi,53.96
Cabo Verde,65.25
Cambodia,60.75
Cameroon,51.78
Canada,71.15
Central African Republic,44.16
Chad,50.53
Chile,69.44
China,68.01
Colombia,68.29
Comoros,58.19
Congo,54.9
Costa Rica,70.04
Croatia,67.9
Cuba,68.05
Cyprus,71.63
Czechia,68.29
Côte d’Ivoire,52.52
Democratic People's Republic of Korea,64.3
Democratic Republic of the Congo,52.43
Denmark,70.53
Djibouti,57.0
Dominican Republic,63.21
Ecuador,67.49
Egypt,62.0
El Salvador,63.46
Equatorial Guinea,52.9
Eritrea,54.1
Estonia,68.26
Eswatini,46.91
Ethiopia,58.32
Fiji,59.58
Finland,70.73
France,71.7
Gabon,56.29
Gambia,55.83
Georgia,64.2
Germany,70.07
Ghana,56.49
Greece,70.43
Grenada,63.85
Guatemala,61.48
Guinea,51.51
Guinea-Bissau,50.92
Guyana,57.17
Haiti,54.59
Honduras,61.33
Hungary,66.6
Iceland,71.9
India,59.14
Indonesia,62.33
Iran (Islamic Republic of),65.66
Iraq,60.8
Ireland,70.66
Israel,71.84
Italy,71.56
Jamaica,66.59
Japan,73.62
Jordan,67.59
Kazakhstan,63.35
Kenya,56.08
Kiribati,51.62
Kuwait,70.23
Kyrgyzstan,63.74
Lao People's Democratic Republic,59.29
Latvia,65.76
Lebanon,65.67
Lesotho,41.64
Liberia,52.47
Libya,64.35
Lithuania,65.28
Luxembourg,71.53
Madagascar,56.3
Malawi,54.89
Malaysia,65.78
Maldives,69.11
Mali,52.98
Malta,71.32
Mauritania,58.95
Mauritius,64.03
Mexico,65.76
Micronesia (Federated States of),55.8
Mongolia,59.85
Montenegro,66.64
Morocco,63.29
Mozambique,48.6
Myanmar,59.56
Namibia,54.57
Nepal,60.17
Netherlands,71.12
New Zealand,69.89
Nicaragua,65.16
Niger,54.14
Nigeria,53.13
Norway,71.23
Oman,63.75
Pakistan,55.78
Panama,68.28
Papua New Guinea,56.42
Paraguay,65.63
Peru,68.85
Philippines,61.91
Poland,68.03
Portugal,70.49
Qatar,66.44
Republic of Korea,72.03
Republic of Moldova,62.86
Romania,66.28
Russian Federation,62.67
Rwanda,58.87
Saint Lucia,65.25
Saint Vincent and the Grenadines,63.51
Samoa,61.9
Sao Tome and Principe,60.95
Saudi Arabia,63.2
Senegal,58.17
Serbia,66.44
Seychelles,63.98
Sierra Leone,49.7
Singapore,73.2
Slovakia,67.64
Slovenia,70.04
Solomon Islands,57.4
Somalia,48.09
South Africa,54.11
South Sudan,53.02
Spain,71.56
Sri Lanka,66.55
Sudan,58.89
Suriname,63.18
Sweden,71.43
Switzerland,71.75
Syrian Arab Republic,56.34
Tajikistan,61.43
Thailand,68.02
The former Yugoslav Republic of Macedonia,65.33
Timor-Leste,60.34
Togo,54.21
Tonga,63.93
Trinidad and Tobago,65.19
Tunisia,66.75
Turkey,67.72
Turkmenistan,61.73
Uganda,56.29
Ukraine,63.79
United Arab Emirates,65.45
United Kingdom of Great Britain and Northern Ireland,69.67
United Republic of Tanzania,56.74
United States of America,66.56
Uruguay,67.54
Uzbekistan,63.46
Vanuatu,57.36
Venezuela (Bolivarian Republic of),65.1
Viet Nam,64.89
Yemen,58.38
Zambia,52.71
Zimbabwe,51.17
