Location,alcohol
Afghanistan,0.21
Albania,6.74
Algeria,0.93
Andorra,11.01
Angola,7.96
Antigua and Barbuda,5.89
Argentina,9.55
Armenia,5.84
Australia,10.83
Austria,12.07
Azerbaijan,4.58
Bahamas,4.55
Bahrain,1.3
Bangladesh,0.021
Barbados,9.33
Belarus,12.0
Belgium,11.82
Belize,6.74
Benin,2.97
Bhutan,0.42
Bolivia (Plurinational State of),4.64
Bosnia and Herzegovina,6.92
Botswana,6.86
Brazil,7.86
Brunei Darussalam,0.46
Bulgaria,12.34
Burkina Faso,11.83
Burundi,7.03
Cabo Verde,5.95
Cambodia,6.37
Cameroon,6.17
Canada,8.88
Central African Republic,2.43
Chad,1.45
Chile,9.26
China,7.15
Colombia,5.78
Comoros,0.88
Congo,7.9
Costa Rica,4.76
Croatia,9.07
Cuba,5.67
Cyprus,10.76
Czechia,14.25
Côte d’Ivoire,2.61
Democratic People's Republic of Korea,3.82
Democratic Republic of the Congo,2.05
Denmark,10.36
Djibouti,0.49
Dominica,11.32
Dominican Republic,6.61
Ecuador,4.98
Egypt,0.4
El Salvador,3.59
Equatorial Guinea,9.08
Eritrea,1.42
Estonia,12.39
Eswatini,9.84
Ethiopia,2.19
Fiji,3.33
Finland,11.18
France,12.64
Gabon,9.57
Gambia,3.67
Georgia,9.61
Germany,13.06
Ghana,3.12
Greece,10.49
Grenada,9.07
Guatemala,2.55
Guinea,1.07
Guinea-Bissau,5.05
Guyana,7.35
Haiti,2.69
Honduras,3.49
Hungary,11.6
Iceland,8.74
India,5.54
Indonesia,0.6
Iran (Islamic Republic of),1.01
Iraq,0.37
Ireland,12.47
Israel,3.86
Italy,7.59
Jamaica,4.19
Japan,7.87
Jordan,0.69
Kazakhstan,4.66
Kenya,2.77
Kiribati,0.52
Kuwait,0.003
Kyrgyzstan,7.59
Lao People's Democratic Republic,10.05
Latvia,12.64
Lebanon,1.65
Lesotho,4.8
Liberia,5.7
Libya,0.029
Lithuania,15.38
Luxembourg,13.18
Madagascar,1.88
Malawi,3.62
Malaysia,0.85
Maldives,2.07
Mali,1.25
Malta,7.56
Mauritania,0.033
Mauritius,3.94
Mexico,4.92
Micronesia (Federated States of),2.44
Mongolia,10.97
Montenegro,10.92
Morocco,0.7
Mozambique,2.19
Myanmar,4.41
Namibia,5.23
Nauru,3.71
Nepal,2.05
Netherlands,9.55
New Zealand,10.44
Nicaragua,5.03
Niger,0.55
Nigeria,10.81
Niue,10.28
Norway,7.52
Oman,0.77
Pakistan,0.29
Panama,7.71
Papua New Guinea,1.39
Paraguay,7.26
Peru,6.63
Philippines,6.7
Poland,11.63
Portugal,11.88
Qatar,1.62
Republic of Korea,10.04
Republic of Moldova,11.87
Romania,11.64
Russian Federation,12.47
Rwanda,9.26
Saint Kitts and Nevis,8.88
Saint Lucia,9.97
Saint Vincent and the Grenadines,8.46
Samoa,2.59
Sao Tome and Principe,7.19
Saudi Arabia,0.2
Senegal,0.73
Serbia,8.7
Seychelles,18.35
Sierra Leone,5.63
Singapore,2.07
Slovakia,11.53
Slovenia,12.74
Solomon Islands,1.55
Somalia,0.013
South Africa,9.61
Spain,11.32
Sri Lanka,4.1
Sudan,0.52
Suriname,5.81
Sweden,9.13
Switzerland,11.58
Syrian Arab Republic,0.28
Tajikistan,3.11
Thailand,8.36
The former Yugoslav Republic of Macedonia,5.93
Timor-Leste,2.01
Togo,2.37
Tonga,0.68
Trinidad and Tobago,6.88
Tunisia,1.99
Turkey,2.12
Turkmenistan,5.3
Tuvalu,1.98
Uganda,15.14
Ukraine,10.16
United Arab Emirates,3.79
United Kingdom of Great Britain and Northern Ireland,11.21
United Republic of Tanzania,11.05
United States of America,9.82
Uruguay,6.99
Uzbekistan,2.59
Vanuatu,2.14
Venezuela (Bolivarian Republic of),6.82
Viet Nam,7.86
Yemen,0.055
Zambia,6.89
Zimbabwe,4.92
