Location,sanitation
Afghanistan,40.71
Albania,97.69
Algeria,87.5
Andorra,100.0
Angola,47.37
Antigua and Barbuda,87.5
Argentina,94.23
Armenia,93.06
Australia,99.99
Austria,99.98
Azerbaijan,92.46
Bahamas,94.93
Bahrain,100.0
Bangladesh,45.74
Barbados,96.36
Belarus,97.76
Belgium,99.49
Belize,87.21
Benin,16.01
Bhutan,67.29
Bolivia (Plurinational State of),56.91
Bosnia and Herzegovina,95.31
Botswana,74.76
Brazil,86.55
Brunei Darussalam,96.35
Bulgaria,85.98
Burkina Faso,18.83
Burundi,45.88
Cabo Verde,70.47
Cambodia,53.39
Cameroon,38.86
Canada,99.36
Central African Republic,25.18
Chad,8.84
Chile,99.63
China,81.68
Colombia,87.55
Comoros,35.82
Congo,18.94
Cook Islands,97.63
Costa Rica,97.27
Croatia,96.49
Cuba,92.43
Cyprus,99.26
Czechia,99.14
Côte d’Ivoire,30.57
Democratic People's Republic of Korea,81.67
Democratic Republic of the Congo,20.44
Denmark,99.6
Djibouti,61.09
Dominica,77.89
Dominican Republic,83.18
Ecuador,86.1
Egypt,93.97
El Salvador,87.01
Equatorial Guinea,66.18
Eritrea,11.84
Estonia,99.13
Eswatini,57.87
Ethiopia,6.86
Fiji,94.54
Finland,99.45
France,98.65
Gabon,47.32
Gambia,39.01
Georgia,90.49
Germany,99.22
Ghana,17.15
Greece,98.98
Grenada,91.49
Guatemala,64.98
Guinea,21.06
Guinea-Bissau,19.82
Guyana,85.35
Haiti,32.5
Honduras,79.22
Hungary,98.0
Iceland,98.78
India,54.35
Indonesia,69.38
Iran (Islamic Republic of),88.29
Iraq,90.74
Ireland,91.05
Israel,100.0
Italy,98.77
Jamaica,86.95
Japan,99.91
Jordan,97.53
Kazakhstan,97.74
Kenya,29.55
Kiribati,45.36
Kuwait,100.0
Kyrgyzstan,96.54
Lao People's Democratic Republic,69.39
Latvia,91.42
Lebanon,95.36
Lesotho,39.06
Liberia,16.69
Libya,99.86
Lithuania,92.27
Luxembourg,97.61
Madagascar,9.74
Malawi,25.58
Malaysia,99.56
Maldives,99.05
Mali,36.18
Malta,99.96
Marshall Islands,82.97
Mauritania,43.5
Mauritius,95.51
Mexico,89.42
Micronesia (Federated States of),88.31
Monaco,100.0
Mongolia,57.98
Montenegro,97.73
Morocco,87.54
Mozambique,26.87
Myanmar,65.09
Namibia,33.9
Nauru,65.6
Nepal,55.74
Netherlands,97.74
New Zealand,100.0
Nicaragua,73.39
Niger,12.75
Nigeria,37.68
Niue,96.77
Norway,98.06
Oman,100.0
Pakistan,56.64
Palau,100.0
Panama,81.14
Papua New Guinea,14.13
Paraguay,87.67
Peru,73.34
Philippines,74.26
Poland,97.69
Portugal,99.44
Qatar,100.0
Republic of Korea,100.0
Republic of Moldova,75.35
Romania,82.81
Russian Federation,89.64
Rwanda,64.24
Saint Lucia,88.37
Saint Vincent and the Grenadines,87.18
Samoa,98.07
San Marino,100.0
Sao Tome and Principe,41.36
Saudi Arabia,99.8
Senegal,50.09
Serbia,97.64
Seychelles,100.0
Sierra Leone,14.94
Singapore,100.0
Slovakia,97.93
Slovenia,99.11
Solomon Islands,31.84
Somalia,35.7
South Africa,73.89
South Sudan,9.6
Spain,99.9
Sri Lanka,94.43
Sudan,35.07
Suriname,83.83
Sweden,99.3
Switzerland,99.89
Syrian Arab Republic,91.56
Tajikistan,96.13
Thailand,97.96
The former Yugoslav Republic of Macedonia,98.14
Timor-Leste,51.32
Togo,15.3
Tonga,93.45
Trinidad and Tobago,93.4
Tunisia,90.3
Turkey,97.19
Turkmenistan,97.85
Tuvalu,84.14
Uganda,18.42
Ukraine,96.22
United Arab Emirates,98.58
United Kingdom of Great Britain and Northern Ireland,99.11
United Republic of Tanzania,26.87
United States of America,99.97
Uruguay,96.2
Uzbekistan,100.0
Vanuatu,38.13
Venezuela (Bolivarian Republic of),93.94
Viet Nam,80.08
Yemen,58.5
Zambia,25.98
Zimbabwe,37.57
