Location,handwash
Afghanistan,37.59
Algeria,83.56
Angola,26.38
Armenia,92.72
Azerbaijan,83.24
Bangladesh,34.41
Barbados,88.47
Belize,87.03
Benin,10.29
Bolivia (Plurinational State of),25.32
Bosnia and Herzegovina,97.16
Burkina Faso,11.22
Burundi,6.14
Cambodia,66.0
Cameroon,9.26
Chad,5.77
Colombia,65.13
Comoros,15.57
Congo,47.74
Costa Rica,83.84
Cuba,85.19
Côte d’Ivoire,19.19
Democratic Republic of the Congo,4.41
Dominican Republic,54.9
Ecuador,80.61
Egypt,88.34
El Salvador,90.55
Equatorial Guinea,24.64
Eswatini,24.0
Ethiopia,7.79
Gambia,7.72
Ghana,40.94
Guatemala,76.57
Guinea,17.36
Guinea-Bissau,6.37
Guyana,77.16
Haiti,23.43
Honduras,84.12
India,59.3
Indonesia,63.98
Iraq,93.39
Jamaica,66.42
Kazakhstan,99.0
Kenya,24.56
Kyrgyzstan,89.2
Lao People's Democratic Republic,49.5
Lesotho,2.07
Liberia,1.18
Madagascar,50.54
Malawi,9.66
Maldives,95.78
Mali,51.74
Marshall Islands,82.44
Mauritania,42.55
Mexico,87.79
Mongolia,71.14
Mozambique,12.23
Myanmar,79.2
Namibia,43.86
Nepal,49.79
Nigeria,41.59
Oman,97.4
Pakistan,59.45
Paraguay,79.53
Philippines,78.41
Republic of Moldova,86.98
Rwanda,4.23
Saint Lucia,87.2
Sao Tome and Principe,41.49
Senegal,23.85
Sierra Leone,17.5
Solomon Islands,35.61
Somalia,9.79
South Africa,43.74
Sudan,23.37
Syrian Arab Republic,70.56
Tajikistan,72.59
Thailand,83.9
Timor-Leste,28.03
Togo,10.3
Trinidad and Tobago,89.44
Tunisia,81.74
Turkmenistan,97.65
Uganda,18.92
United Republic of Tanzania,47.63
Vanuatu,25.15
Viet Nam,85.7
Yemen,49.13
Zambia,13.72
Zimbabwe,36.82
