Location,birth_att_skilled
Afghanistan,50.5
Andorra,100.0
Antigua and Barbuda,100.0
Argentina,99.6
Australia,99.7
Austria,98.5
Azerbaijan,99.8
Bahamas,98.0
Bahrain,99.9
Barbados,99.0
Belize,89.0
Bhutan,89.0
Bolivia (Plurinational State of),72.8
Bosnia and Herzegovina,99.9
Botswana,99.7
Brazil,99.1
Brunei Darussalam,100.0
Bulgaria,99.8
Burkina Faso,79.8
Cabo Verde,91.4
Canada,97.9
Chad,24.3
Chile,99.7
China,99.9
Colombia,99.1
Congo,91.2
Costa Rica,90.0
Croatia,99.9
Cuba,99.9
Cyprus,97.1
Denmark,95.4
Dominica,100.0
Dominican Republic,99.6
Ecuador,94.2
El Salvador,99.9
Estonia,99.5
Fiji,99.9
Finland,99.9
France,97.7
Georgia,99.9
Germany,98.8
Greece,99.94
Grenada,99.0
Guatemala,65.5
Guyana,95.8
Honduras,72.0
Hungary,99.6
Iceland,98.2
Ireland,99.7
Italy,99.9
Jamaica,99.9
Japan,99.9
Kazakhstan,99.4
Kuwait,99.9
Latvia,99.9
Malaysia,99.4
Mali,43.7
Malta,99.8
Mauritania,69.3
Mauritius,99.8
Mexico,97.7
Mozambique,73.0
New Zealand,96.3
Nicaragua,95.0
Niger,39.7
Norway,99.1
Palau,100.0
Panama,95.0
Paraguay,96.3
Peru,91.6
Poland,99.8
Portugal,98.9
Qatar,99.9
Republic of Korea,100.0
Republic of Moldova,99.7
Romania,94.6
Rwanda,90.7
Saint Kitts and Nevis,100.0
Saint Lucia,99.1
Saint Vincent and the Grenadines,98.7
Senegal,53.2
Singapore,99.6
Slovakia,97.0
Solomon Islands,86.2
Suriname,90.0
The former Yugoslav Republic of Macedonia,99.9
Trinidad and Tobago,99.9
Turkey,98.0
United Arab Emirates,99.9
United States of America,99.1
Uruguay,99.9
Uzbekistan,100.0
Venezuela (Bolivarian Republic of),99.3
Zimbabwe,78.1
