Location,clean_fuel_tech
Afghanistan,29.0
Albania,76.0
Algeria,95.0
Andorra,95.0
Angola,48.0
Antigua and Barbuda,95.0
Argentina,95.0
Armenia,95.0
Australia,95.0
Austria,95.0
Azerbaijan,95.0
Bahamas,95.0
Bahrain,95.0
Bangladesh,18.0
Barbados,95.0
Belarus,95.0
Belgium,95.0
Belize,83.0
Benin,5.0
Bhutan,74.0
Bolivia (Plurinational State of),82.0
Bosnia and Herzegovina,45.0
Botswana,55.0
Brazil,95.0
Brunei Darussalam,95.0
Burkina Faso,8.0
Burundi,5.0
Cabo Verde,75.0
Cambodia,17.0
Cameroon,23.0
Canada,95.0
Central African Republic,5.0
Chad,5.0
Chile,95.0
China,60.0
Colombia,90.0
Comoros,6.0
Congo,26.0
Cook Islands,78.0
Costa Rica,94.0
Croatia,87.0
Cyprus,95.0
Czechia,95.0
Côte d’Ivoire,23.0
Democratic People's Republic of Korea,9.0
Democratic Republic of the Congo,5.0
Denmark,95.0
Djibouti,6.0
Dominica,82.0
Dominican Republic,88.0
Ecuador,94.0
Egypt,95.0
El Salvador,86.0
Equatorial Guinea,24.0
Eritrea,9.0
Estonia,95.0
Eswatini,48.0
Ethiopia,5.0
Fiji,29.0
Finland,95.0
France,95.0
Gabon,86.0
Gambia,5.0
Georgia,75.0
Germany,95.0
Ghana,23.0
Greece,95.0
Grenada,91.0
Guatemala,45.0
Guinea,5.0
Guinea-Bissau,5.0
Guyana,71.0
Haiti,5.0
Honduras,51.0
Hungary,95.0
Iceland,95.0
India,43.0
Indonesia,67.0
Iran (Islamic Republic of),95.0
Iraq,95.0
Ireland,95.0
Israel,95.0
Italy,95.0
Jamaica,85.0
Japan,95.0
Jordan,95.0
Kazakhstan,95.0
Kenya,9.0
Kiribati,5.0
Kuwait,95.0
Kyrgyzstan,76.0
Lao People's Democratic Republic,5.0
Latvia,95.0
Lesotho,36.0
Liberia,5.0
Lithuania,95.0
Luxembourg,95.0
Madagascar,5.0
Malawi,5.0
Malaysia,95.0
Maldives,95.0
Mali,5.0
Malta,95.0
Marshall Islands,63.0
Mauritania,43.0
Mauritius,95.0
Mexico,85.0
Micronesia (Federated States of),9.0
Monaco,95.0
Mongolia,44.0
Montenegro,58.0
Morocco,95.0
Mozambique,5.0
Myanmar,20.0
Namibia,44.0
Nauru,90.0
Nepal,27.0
Netherlands,95.0
New Zealand,95.0
Nicaragua,47.0
Niger,5.0
Nigeria,5.0
Niue,86.0
Norway,95.0
Oman,95.0
Pakistan,40.0
Palau,95.0
Panama,88.0
Papua New Guinea,7.0
Paraguay,65.0
Peru,74.0
Philippines,43.0
Poland,95.0
Portugal,95.0
Qatar,95.0
Republic of Korea,95.0
Republic of Moldova,95.0
Romania,80.0
Russian Federation,94.0
Rwanda,5.0
Saint Kitts and Nevis,95.0
Saint Lucia,95.0
Saint Vincent and the Grenadines,95.0
Samoa,31.0
San Marino,95.0
Sao Tome and Principe,5.0
Saudi Arabia,95.0
Senegal,27.0
Serbia,67.0
Seychelles,95.0
Sierra Leone,5.0
Singapore,95.0
Slovakia,95.0
Slovenia,95.0
Solomon Islands,8.0
Somalia,5.0
South Africa,83.0
South Sudan,5.0
Spain,95.0
Sri Lanka,26.0
Sudan,44.0
Suriname,92.0
Sweden,95.0
Switzerland,95.0
Syrian Arab Republic,95.0
Tajikistan,77.0
Thailand,78.0
The former Yugoslav Republic of Macedonia,66.0
Timor-Leste,9.0
Togo,7.0
Tonga,52.0
Trinidad and Tobago,95.0
Tunisia,95.0
Turkey,95.0
Turkmenistan,95.0
Tuvalu,42.0
Uganda,5.0
Ukraine,95.0
United Arab Emirates,95.0
United Kingdom of Great Britain and Northern Ireland,95.0
United Republic of Tanzania,5.0
United States of America,95.0
Uruguay,95.0
Uzbekistan,86.0
Vanuatu,9.0
Venezuela (Bolivarian Republic of),95.0
Viet Nam,59.0
Yemen,60.0
Zambia,15.0
Zimbabwe,29.0
