Location,suicideRate
Afghanistan,4.8
Albania,6.0
Algeria,3.2
Angola,5.0
Antigua and Barbuda,0.8
Argentina,8.8
Armenia,7.0
Australia,13.8
Austria,16.0
Azerbaijan,2.7
Bahamas,1.8
Bahrain,5.9
Bangladesh,6.1
Barbados,0.7
Belarus,26.3
Belgium,20.1
Belize,4.8
Benin,9.9
Bhutan,11.6
Bolivia (Plurinational State of),12.4
Bosnia and Herzegovina,8.9
Botswana,9.7
Brazil,6.5
Brunei Darussalam,4.5
Bulgaria,11.4
Burkina Faso,7.7
Burundi,8.9
Cabo Verde,11.0
Cambodia,5.3
Cameroon,12.3
Canada,12.5
Central African Republic,8.1
Chad,8.9
Chile,10.9
China,9.6
Colombia,8.3
Comoros,6.8
Congo,6.1
Costa Rica,7.9
Croatia,17.8
Cuba,13.7
Cyprus,4.9
Czechia,13.7
Côte d’Ivoire,14.4
Democratic People's Republic of Korea,11.4
Democratic Republic of the Congo,5.6
Denmark,11.9
Djibouti,6.4
Dominican Republic,9.7
Ecuador,9.6
Egypt,3.8
El Salvador,14.0
Equatorial Guinea,16.5
Eritrea,8.1
Estonia,15.8
Eswatini,13.1
Ethiopia,7.2
Fiji,5.0
Finland,14.4
France,18.0
Gabon,7.3
Gambia,5.2
Georgia,8.1
Germany,13.8
Ghana,5.3
Greece,4.8
Grenada,1.1
Guatemala,3.1
Guinea,6.4
Guinea-Bissau,3.9
Guyana,29.1
Haiti,11.7
Honduras,2.8
Hungary,20.3
Iceland,14.0
India,16.5
Indonesia,3.4
Iran (Islamic Republic of),4.0
Iraq,3.1
Ireland,11.5
Israel,5.0
Italy,8.0
Jamaica,2.1
Japan,19.4
Jordan,2.9
Kazakhstan,24.9
Kenya,3.1
Kiribati,14.5
Kuwait,2.3
Kyrgyzstan,8.1
Lao People's Democratic Republic,8.5
Latvia,21.6
Lebanon,3.3
Lesotho,21.0
Liberia,6.5
Libya,4.2
Lithuania,34.9
Luxembourg,14.7
Madagascar,4.0
Malawi,3.6
Malaysia,5.4
Maldives,2.6
Mali,4.8
Malta,8.0
Mauritania,4.3
Mauritius,8.5
Mexico,5.6
Micronesia (Federated States of),11.4
Mongolia,13.1
Montenegro,10.0
Morocco,2.9
Mozambique,4.9
Myanmar,7.6
Namibia,9.0
Nepal,9.1
Netherlands,12.5
New Zealand,12.1
Nicaragua,12.2
Niger,4.7
Nigeria,9.6
Norway,12.4
Oman,4.1
Pakistan,2.9
Panama,3.9
Papua New Guinea,6.0
Paraguay,9.9
Peru,4.9
Philippines,3.2
Poland,15.8
Portugal,13.8
Qatar,6.5
Republic of Korea,28.3
Republic of Moldova,16.4
Romania,11.6
Russian Federation,32.1
Rwanda,6.8
Saint Lucia,7.8
Saint Vincent and the Grenadines,2.7
Samoa,4.5
Sao Tome and Principe,2.3
Saudi Arabia,3.2
Senegal,6.2
Serbia,15.0
Seychelles,9.4
Sierra Leone,9.3
Singapore,9.0
Slovakia,12.8
Slovenia,21.0
Solomon Islands,4.9
Somalia,4.7
South Africa,11.8
South Sudan,3.7
Spain,8.1
Sri Lanka,14.8
Sudan,8.0
Suriname,23.8
Sweden,15.7
Switzerland,17.1
Syrian Arab Republic,1.9
Tajikistan,2.5
Thailand,14.6
The former Yugoslav Republic of Macedonia,7.8
Timor-Leste,4.6
Togo,9.4
Tonga,3.5
Trinidad and Tobago,13.6
Tunisia,3.4
Turkey,7.3
Turkmenistan,7.2
Uganda,9.9
Ukraine,23.1
United Arab Emirates,2.8
United Kingdom of Great Britain and Northern Ireland,8.7
United Republic of Tanzania,5.4
United States of America,15.0
Uruguay,19.4
Uzbekistan,7.4
Vanuatu,4.5
Venezuela (Bolivarian Republic of),3.8
Viet Nam,7.2
Yemen,8.6
Zambia,6.1
Zimbabwe,10.6
