Location,dentists
Afghanistan,0.036
Andorra,8.21
Armenia,3.69
Australia,5.78
Austria,5.65
Bahrain,0.98
Bangladesh,0.42
Belarus,5.92
Belgium,7.35
Bosnia and Herzegovina,2.4
Brunei Darussalam,2.27
Bulgaria,10.48
Chile,10.04
Colombia,9.74
Costa Rica,1.45
Croatia,7.91
Cyprus,7.55
Czechia,7.98
Denmark,7.6
Ecuador,5.28
Egypt,1.83
Estonia,9.42
Fiji,0.74
France,6.61
Gambia,0.081
Georgia,6.14
Germany,8.56
Greece,12.48
Haiti,0.058
Hungary,6.07
Iceland,8.42
Indonesia,0.49
Iran (Islamic Republic of),3.34
Ireland,6.08
Israel,8.31
Italy,7.86
Jamaica,0.13
Jordan,7.35
Kazakhstan,2.9
Kuwait,6.75
Latvia,7.1
Lebanon,8.46
Libya,7.77
Lithuania,9.02
Luxembourg,8.93
Malaysia,3.5
Maldives,1.36
Malta,4.75
Mauritius,3.02
Mexico,1.3
Montenegro,0.4
Morocco,1.41
Mozambique,0.07
Myanmar,0.62
Nauru,1.92
Netherlands,5.15
New Zealand,6.12
Niger,0.015
Norway,8.53
Oman,2.69
Pakistan,0.84
Philippines,0.021
Poland,3.31
Portugal,9.13
Republic of Korea,4.63
Republic of Moldova,4.37
Rwanda,0.11
Saint Kitts and Nevis,3.91
Serbia,2.14
Slovakia,4.87
Slovenia,6.72
South Africa,1.08
Spain,7.42
Sri Lanka,0.65
Sudan,2.09
Sweden,8.0
Switzerland,5.06
The former Yugoslav Republic of Macedonia,8.77
Timor-Leste,0.15
Togo,0.025
Trinidad and Tobago,3.57
Tunisia,3.13
Turkey,3.16
Uganda,0.072
United Arab Emirates,5.31
United Kingdom of Great Britain and Northern Ireland,5.26
Zimbabwe,0.048
