Location,NTD
Afghanistan,13765392.0
Albania,16.0
Algeria,7561.0
Andorra,0.0
Angola,18534219.0
Antigua and Barbuda,158.0
Argentina,5406.0
Armenia,39044.0
Australia,17476.0
Austria,65.0
Azerbaijan,1699962.0
Bahamas,4127.0
Bahrain,6.0
Bangladesh,49839493.0
Barbados,390.0
Belarus,0.0
Belgium,9.0
Belize,7300.0
Benin,7029345.0
Bhutan,227111.0
Bolivia (Plurinational State of),1883582.0
Bosnia and Herzegovina,0.0
Botswana,257169.0
Brazil,11067291.0
Brunei Darussalam,9239.0
Bulgaria,318.0
Burkina Faso,11658638.0
Burundi,5601304.0
Cabo Verde,136792.0
Cambodia,5610240.0
Cameroon,20630132.0
Canada,0.0
Central African Republic,4096089.0
Chad,6328205.0
Chile,40.0
China,26100630.0
Colombia,3846506.0
Comoros,525978.0
Congo,1346327.0
Cook Islands,765.0
Costa Rica,18569.0
Croatia,11.0
Cuba,43862.0
Cyprus,3.0
Czechia,3.0
Côte d’Ivoire,18738388.0
Democratic People's Republic of Korea,6082191.0
Democratic Republic of the Congo,52564709.0
Denmark,0.0
Djibouti,108810.0
Dominica,7546.0
Dominican Republic,989731.0
Ecuador,1943932.0
Egypt,1640557.0
El Salvador,702992.0
Equatorial Guinea,466357.0
Eritrea,1441264.0
Estonia,12.0
Eswatini,331005.0
Ethiopia,75106161.0
Fiji,898821.0
Finland,2.0
France,222.0
Gabon,1560166.0
Gambia,171850.0
Georgia,65.0
Germany,867.0
Ghana,15536903.0
Greece,81.0
Grenada,25.0
Guatemala,3321447.0
Guinea,7973039.0
Guinea-Bissau,1731541.0
Guyana,747901.0
Haiti,9831829.0
Honduras,2399777.0
Hungary,14.0
Iceland,0.0
India,668000000.0
Indonesia,111000000.0
Iran (Islamic Republic of),18692.0
Iraq,2107072.0
Ireland,5.0
Israel,231.0
Italy,234.0
Jamaica,343044.0
Japan,11.0
Jordan,70.0
Kazakhstan,25.0
Kenya,13642040.0
Kiribati,33294.0
Kuwait,0.0
Kyrgyzstan,111901.0
Lao People's Democratic Republic,2183066.0
Latvia,14.0
Lebanon,6.0
Lesotho,523534.0
Liberia,3812536.0
Libya,1640.0
Lithuania,42.0
Luxembourg,0.0
Madagascar,21298533.0
Malawi,11426323.0
Malaysia,174457.0
Maldives,1892.0
Mali,18291866.0
Malta,1.0
Marshall Islands,28996.0
Mauritania,690268.0
Mauritius,0.0
Mexico,9923501.0
Micronesia (Federated States of),72590.0
Monaco,0.0
Mongolia,43.0
Montenegro,5.0
Morocco,2917.0
Mozambique,23150013.0
Myanmar,41292086.0
Namibia,1073269.0
Nauru,2822.0
Nepal,18850311.0
Netherlands,64.0
New Zealand,3.0
Nicaragua,933780.0
Niger,15779050.0
Nigeria,141000000.0
Niue,0.0
Norway,100.0
Oman,5.0
Pakistan,31056287.0
Palau,15.0
Panama,437597.0
Papua New Guinea,6425746.0
Paraguay,795686.0
Peru,2831613.0
Philippines,43430927.0
Poland,59.0
Portugal,20.0
Qatar,26.0
Republic of Korea,257.0
Republic of Moldova,0.0
Romania,26.0
Russian Federation,6.0
Rwanda,5065110.0
Saint Kitts and Nevis,5.0
Saint Lucia,33729.0
Saint Vincent and the Grenadines,13.0
Samoa,61325.0
San Marino,0.0
Sao Tome and Principe,199686.0
Saudi Arabia,1496.0
Senegal,11849373.0
Serbia,0.0
Seychelles,0.0
Sierra Leone,7500446.0
Singapore,10473.0
Slovakia,7.0
Slovenia,10.0
Solomon Islands,534850.0
Somalia,5015936.0
South Africa,6696701.0
South Sudan,9706562.0
Spain,299.0
Sri Lanka,33253.0
Sudan,26533962.0
Suriname,56918.0
Sweden,185.0
Switzerland,0.0
Syrian Arab Republic,50998.0
Tajikistan,123178.0
Thailand,145146.0
The former Yugoslav Republic of Macedonia,4.0
Timor-Leste,1170044.0
Togo,5586475.0
Tonga,36871.0
Trinidad and Tobago,19323.0
Tunisia,6648.0
Turkey,2009.0
Turkmenistan,49.0
Tuvalu,10550.0
Uganda,23239105.0
Ukraine,0.0
United Arab Emirates,0.0
United Kingdom of Great Britain and Northern Ireland,452.0
United Republic of Tanzania,33064128.0
United States of America,929.0
Uruguay,19.0
Uzbekistan,399873.0
Vanuatu,266041.0
Venezuela (Bolivarian Republic of),280243.0
Viet Nam,4468764.0
Yemen,5840695.0
Zambia,11830416.0
Zimbabwe,10346543.0
