Location,Pharmacists
Afghanistan,0.5
Andorra,10.13
Armenia,0.49
Australia,8.47
Austria,7.03
Bahrain,1.62
Bangladesh,0.78
Belarus,3.63
Belgium,12.09
Bhutan,0.21
Bosnia and Herzegovina,1.29
Brunei Darussalam,1.71
Burkina Faso,0.14
Central African Republic,0.045
Chad,0.056
Chile,4.43
China,2.99
Costa Rica,7.26
Croatia,7.19
Cyprus,6.46
Czechia,6.57
Denmark,5.15
Ecuador,0.42
Egypt,3.96
Estonia,7.21
Fiji,1.09
France,10.9
Gambia,0.024
Georgia,0.78
Germany,6.43
Greece,10.6
Guinea,0.12
Hungary,7.2
Iceland,4.85
Indonesia,1.17
Iran (Islamic Republic of),2.02
Ireland,11.16
Israel,7.81
Italy,11.55
Jamaica,0.28
Jordan,13.03
Kazakhstan,8.14
Latvia,7.88
Lebanon,11.62
Libya,4.86
Luxembourg,7.01
Malaysia,3.47
Maldives,4.38
Malta,12.87
Mauritius,3.95
Mongolia,5.02
Mozambique,0.072
Nauru,1.92
Netherlands,2.13
New Zealand,6.66
Niger,0.025
Nigeria,1.11
Norway,7.43
Oman,4.99
Poland,7.39
Portugal,8.4
Republic of Korea,6.53
Rwanda,0.1
Senegal,0.098
Slovenia,6.25
South Africa,2.85
Spain,11.87
Sri Lanka,0.72
Sudan,4.37
Sweden,7.61
Switzerland,6.44
Thailand,1.78
Timor-Leste,0.084
Togo,0.023
Tunisia,2.32
Turkey,3.51
Uganda,0.012
United Arab Emirates,5.67
United Kingdom of Great Britain and Northern Ireland,8.26
Viet Nam,3.4
Zimbabwe,0.1
