Location,safe_san
Albania,39.84
Algeria,17.74
Andorra,100.0
Armenia,48.32
Australia,73.88
Austria,96.72
Bahrain,96.0
Belarus,81.51
Belgium,97.1
Bolivia (Plurinational State of),21.51
Bosnia and Herzegovina,20.92
Brazil,44.86
Bulgaria,60.51
Canada,82.41
Chile,73.59
China,64.51
Colombia,16.59
Croatia,58.4
Cuba,42.69
Cyprus,75.55
Czechia,93.47
Denmark,94.54
Djibouti,34.84
Ecuador,42.18
Egypt,59.59
Estonia,97.11
Finland,99.18
France,88.45
Georgia,26.44
Germany,97.23
Greece,88.59
Hungary,95.76
Iceland,77.1
Iraq,39.7
Ireland,82.18
Israel,91.99
Italy,96.2
Japan,98.83
Jordan,80.4
Kuwait,100.0
Lao People's Democratic Republic,54.22
Latvia,84.86
Lebanon,21.15
Libya,26.33
Lithuania,90.24
Luxembourg,95.45
Malaysia,85.87
Mali,17.34
Malta,92.99
Mexico,45.55
Monaco,100.0
Morocco,38.57
Netherlands,97.47
New Zealand,87.47
Niger,9.04
Nigeria,26.42
Norway,75.91
Paraguay,56.9
Peru,38.63
Philippines,50.13
Poland,91.98
Portugal,81.85
Qatar,93.87
Republic of Korea,99.62
Romania,72.43
Russian Federation,60.52
Samoa,48.71
San Marino,77.23
Saudi Arabia,76.4
Senegal,20.29
Serbia,24.35
Sierra Leone,12.76
Singapore,100.0
Slovakia,82.7
Slovenia,82.53
Spain,96.53
Sweden,93.3
Switzerland,99.54
The former Yugoslav Republic of Macedonia,16.16
Tunisia,76.51
Turkey,64.89
Tuvalu,6.42
Ukraine,63.91
United Arab Emirates,95.45
United Kingdom of Great Britain and Northern Ireland,97.72
United Republic of Tanzania,23.18
United States of America,89.85
Venezuela (Bolivarian Republic of),23.97
