Location,UHC_Cov
Afghanistan,34.0
Albania,58.0
Algeria,76.0
Angola,38.0
Antigua and Barbuda,73.0
Argentina,76.0
Armenia,66.0
Australia,86.0
Austria,79.0
Azerbaijan,63.0
Bahamas,73.0
Bahrain,75.0
Bangladesh,46.0
Barbados,76.0
Belarus,74.0
Belgium,83.0
Belize,66.0
Benin,40.0
Bhutan,59.0
Bolivia (Plurinational State of),64.0
Bosnia and Herzegovina,60.0
Botswana,61.0
Brazil,78.0
Brunei Darussalam,83.0
Bulgaria,64.0
Burkina Faso,38.0
Burundi,43.0
Cabo Verde,67.0
Cambodia,55.0
Cameroon,43.0
Canada,88.0
Central African Republic,32.0
Chad,27.0
Chile,66.0
China,76.0
Colombia,76.0
Comoros,49.0
Congo,40.0
Costa Rica,76.0
Croatia,60.0
Cuba,81.0
Cyprus,75.0
Czechia,74.0
Côte d’Ivoire,46.0
Democratic People's Republic of Korea,70.0
Democratic Republic of the Congo,39.0
Denmark,82.0
Djibouti,44.0
Dominican Republic,74.0
Ecuador,76.0
Egypt,65.0
El Salvador,75.0
Equatorial Guinea,40.0
Eritrea,38.0
Estonia,75.0
Eswatini,60.0
Ethiopia,39.0
Fiji,64.0
Finland,79.0
France,78.0
Gabon,51.0
Gambia,45.0
Georgia,66.0
Germany,82.0
Ghana,46.0
Greece,74.0
Grenada,69.0
Guatemala,57.0
Guinea,34.0
Guinea-Bissau,40.0
Guyana,70.0
Haiti,47.0
Honduras,66.0
Hungary,73.0
Iceland,85.0
India,52.0
Indonesia,53.0
Iran (Islamic Republic of),70.0
Iraq,61.0
Ireland,79.0
Israel,81.0
Italy,81.0
Jamaica,62.0
Japan,80.0
Jordan,76.0
Kazakhstan,74.0
Kenya,54.0
Kiribati,39.0
Kuwait,75.0
Kyrgyzstan,68.0
Lao People's Democratic Republic,49.0
Latvia,67.0
Lebanon,71.0
Lesotho,47.0
Liberia,37.0
Libya,62.0
Lithuania,70.0
Luxembourg,82.0
Madagascar,24.0
Malawi,43.0
Malaysia,71.0
Maldives,59.0
Mali,35.0
Malta,81.0
Mauritania,36.0
Mauritius,62.0
Mexico,76.0
Micronesia (Federated States of),44.0
Mongolia,62.0
Montenegro,67.0
Morocco,69.0
Mozambique,43.0
Myanmar,59.0
Namibia,61.0
Nepal,51.0
Netherlands,85.0
New Zealand,85.0
Nicaragua,71.0
Niger,35.0
Nigeria,42.0
Norway,86.0
Oman,71.0
Pakistan,42.0
Panama,76.0
Papua New Guinea,41.0
Paraguay,68.0
Peru,77.0
Philippines,57.0
Poland,74.0
Portugal,81.0
Qatar,69.0
Republic of Korea,85.0
Republic of Moldova,68.0
Romania,73.0
Russian Federation,71.0
Rwanda,54.0
Saint Lucia,66.0
Saint Vincent and the Grenadines,67.0
Samoa,58.0
Sao Tome and Principe,53.0
Saudi Arabia,73.0
Senegal,44.0
Serbia,65.0
Seychelles,71.0
Sierra Leone,36.0
Singapore,85.0
Slovakia,75.0
Slovenia,79.0
Solomon Islands,46.0
Somalia,22.0
South Africa,69.0
South Sudan,30.0
Spain,81.0
Sri Lanka,63.0
Sudan,42.0
Suriname,70.0
Sweden,85.0
Switzerland,82.0
Syrian Arab Republic,59.0
Tajikistan,67.0
Thailand,75.0
The former Yugoslav Republic of Macedonia,70.0
Timor-Leste,49.0
Togo,42.0
Tonga,56.0
Trinidad and Tobago,72.0
Tunisia,70.0
Turkey,71.0
Turkmenistan,69.0
Uganda,44.0
Ukraine,65.0
United Arab Emirates,72.0
United Kingdom of Great Britain and Northern Ireland,85.0
United Republic of Tanzania,41.0
United States of America,83.0
Uruguay,79.0
Uzbekistan,72.0
Vanuatu,49.0
Venezuela (Bolivarian Republic of),73.0
Viet Nam,73.0
Yemen,40.0
Zambia,54.0
Zimbabwe,54.0
